Site,Species,LDMC,SLA,Leaves_N,Leaves_C,Thickness,Thoughness,Stem_WSG,SRL,Fine_Diameter,RTD,Root_N,Root_C,Root_WSG,LMF,SMF,RMF,Light_classification
JE,ARDFIM,0.1875,180.26749999999998,4.05,45.583333333333336,0.35,348.33000000000004,0.6733333333333333,1.05,1.06,69.88333333333334,1.0675,40.4225,0.6025,0.49,0.325,0.185,NLD
JE,BROLAC,0.4857142857142857,251.14142857142858,3.322857142857143,42.05,0.12571428571428572,317.14285714285717,0.7485714285714286,3.1314285714285712,0.455,82.395,1.3266666666666667,43.971666666666664,0.4685714285714286,0.3342857142857143,0.34714285714285714,0.3171428571428571,NLD
JE,CASARB,0.3275,436.1525,3.2275,47.0675,0.08,234.5925,1.27,2.1866666666666665,0.59,75.11666666666667,1.4433333333333334,44.71,0.98,0.065,0.4525,0.47250000000000003,LD
JE,DENARB,0.202,297.002,2.032,40.94,0.188,410.22200000000004,0.7266666666666667,2.2575000000000003,0.87,44.395,1.2175,41.292500000000004,0.472,0.356,0.256,0.388,LD
JE,HERDID,0.204,278.562,2.468,42.744,0.218,303.778,0.4575,0.788,1.644,41.324,2.44,41.038,0.334,0.506,0.3,0.194,LD
JE,INGTHI,0.422,250.418,3.19,46.9075,0.134,309.224,0.8525,1.088,0.798,114.478,1.552,43.866,0.686,0.23600000000000002,0.234,0.532,INT
JE,MICAFF,0.338,250.148,1.8960000000000001,37.228,0.094,212.444,1.198,3.285,0.54,54.38,1.288,41.548,0.904,0.386,0.41000000000000003,0.204,INT
JE,MICELA,0.3625,145.65,2.154,45.036,0.216,267.108,0.744,1.8533333333333333,0.7,59.704,1.492,38.525999999999996,0.6799999999999999,0.594,0.266,0.14400000000000002,INT
JE,PIPCOL,0.22999999999999998,302.134,3.094,43.074,0.168,261.11199999999997,0.5,0.8200000000000001,1.47,43.352,2.2025,43.635000000000005,0.3725,0.252,0.326,0.424,NLD
JE,POUBIC,0.4,267.074,2.2439999999999998,44.868,0.19,256.668,0.9874999999999999,2.045,0.6000000000000001,77.175,1.3760000000000001,42.948,0.646,0.442,0.404,0.252,LD
JE,PSYELA,0.195,270.36,2.3266666666666667,35.56333333333333,0.15,278.3333333333333,0.604,2.888,0.736,29.842,1.645,42.626666666666665,0.42000000000000004,0.4766666666666667,0.35,0.23,LD
JE,TROINV,0.3733333333333333,239.71833333333333,2.13,36.82333333333333,0.125,469.99833333333333,0.77,4.141666666666667,0.3983333333333333,58.49,1.475,44.722,0.7133333333333334,0.4083333333333333,0.26,0.37,INT
JE,VIRKOS,0.268,274.056,2.5166666666666666,48.64666666666667,0.124,301.934,0.9933333333333333,0.7625,1.5025,53.3825,1.762,46.688,0.274,0.44,0.264,0.266,NLD
